"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8","30.9","34.8","38.8","42.7","47.3","51.1","54.65","57.8","61.2","63.9","66.7","68.9","71.2","72.9","75","76","77.4","78.3","79.4","80.2","",
"Botswana","BWA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4","46.3","47.8","49.5","51.1","52.6","53.7","55.1","56.4","57.6","58.5","59.6","60.2","60.8","61.3","61.7","62.4","63","63.8","63.9","64.7","",
"Central African Republic","CAF","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000000000001","0.600000000000001","0.600000000000001","0.600000000000001","0.5","0.5","0.600000000000001","0.600000000000001","0.600000000000001","0.600000000000001","0.5","0.5","0.600000000000001","0.600000000000001","0.600000000000001","0.600000000000001","0.700000000000001","0.700000000000001","0.700000000000001","0.700000000000001","0.800000000000001","",
"Canada","CAN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Central Europe and the Baltics","CEB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.6484370725594","92.2032674444179","92.7133154946294","93.246400227727","93.7357022358221","94.1143341617071","94.4813574767146","94.8589843788996","95.254055098231","95.471328876706","95.7538416907783","96.0254113217729","96.1717913227533","96.3066744854003","96.4385146564686","96.5467370058302","96.6320324688329","97.3585248634099","97.3698541128474","97.5029937255231","97.5121023054076","",
"Switzerland","CHE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Channel Islands","CHI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"China","CHN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42.3","43.1","43.4","44.9","46.3","47.7","49.4","51.1","53.5","55.6","58","60.7","63.2","66","68.4","70.6","73.2","75.6","77.6","79.4","",
"Cote d'Ivoire","CIV","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","18.1","17.6","17.1","16.7","16.7","16.6","16.6","16.8","17.2","17.95","18.7","19.4","20.6","21.7","23.1","24.9","26.55","28.4","30.3","31.8","",
"Cameroon","CMR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.80000000000001","10.7","11.7","12.7","13.7","14.7","15.9","16.8","17.7","18.55","19.4","20","20.8","21.4","21.7","22","22.2","22.2","22.1","22.2","21.9","",
"Congo, Dem. Rep.","COD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1.2","1.4","1.6","1.9","2.1","2.4","2.7","2.9","3.1","3.2","3.5","3.5","3.7","3.8","3.7","3.7","3.8","3.6","3.75","3.7","",
"Congo, Rep.","COG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","9.6","9.9","10.5","11.1","11.6","12.6","13.4","14.5","15.8","17","18.5","20.05","21.8","23.5","25.4","27.4","29.5","31.05","32.6","34.9","",
"Colombia","COL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.1","78.9","79.7","80.7","81.5","82.4","83","83.8","84.6","85.4","86.3","87","87.6","88.45","89.1","89.75","90.7","91.2","92","92.5","93.2","",
"Comoros","COM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.600000000000001","0.700000000000001","0.800000000000001","1","1.2","1.4","1.7","2","2.4","2.8","3.2","3.7","4.2","4.79999999999999","5.29999999999999","5.70000000000001","6.29999999999999","6.80000000000001","7.30000000000001","7.80000000000001","8.40000000000001","",
"Cabo Verde","CPV","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8","62.9","63.2","63.3","63.9","64.5","65.2","66.3","67.5","68.4","69.7","70.8","72","73.2","74.4","75.5","76.5","77.8","78.9","80.2","81","",
"Costa Rica","CRI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","89.4","89.8","90.1","90.4","90.7","91.2","91.3","91.8","92.1","92.4","92.9","93.1","93.6","94","94.3","94.6","94.9","95.3","95.6","95.7","",
"Caribbean small states","CSS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8554274817267","81.0246485975213","82.0836196510649","83.0942096821572","84.0647448690693","85.0841954706479","85.7876431270175","86.5263056659654","87.1627965731571","87.729189890067","88.1479271540803","88.6543614271679","88.9608955132715","89.2367473742567","89.4639310593278","89.5238028475479","89.6208932576784","89.6133251953753","89.5834790261233","89.5842674440626","89.4633663936875","",
"Cuba","CUB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4","74.5","77.2","79.8","81.8","83.8","85.4","87","88.1","89.1","90.2","91","91.5","92","92.7","92.65","93.2","93.4","93.5","93.6","93.8","",
"Curacao","CUW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Czechia","CZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Germany","DEU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Djibouti","DJI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4.1","4.2","4.3","4.49999999999999","4.8","4.99999999999999","5.29999999999999","5.70000000000001","6.09999999999999","6.49999999999999","6.80000000000001","7.20000000000001","7.8","8.1","8.40000000000001","8.75","9","9.3","9.5","9.65","",
"Dominica","DMA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","82","82.8","83.6","84","85","85.5","86.3","87","87.4","87.8","88.3","88.4","88.7","88.9","89.3","89.3","89.3","89.1","89.3","88.9","",
"Denmark","DNK","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Dominican Republic","DOM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1","84.7","85.5","86.05","86.4","86.7","87","87.1","87.3","87.4","87.6","87.8","87.9","88.2","88.5","89","89.5","90","90.4","90.9","91.5","",
"Algeria","DZA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.1","97.3","97.8","98","98.2","98.5","98.7","98.8","99","99.1","99.2","99.3","99.4","99.4","99.5","99.5","99.6","99.6","99.6","99.7","99.7","",
"East Asia & Pacific (excluding high income)","EAP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5547935384856","36.1038139348952","37.0416526514026","37.6576066720644","39.1915500233973","40.721210328547","42.4089357082751","44.3392759608588","46.4498903898948","49.0721459641914","51.5068039685372","54.0865701387408","56.8161511145439","59.3469004118191","62.0886314349093","64.4068210697802","66.6285111063301","69.0585745228501","71.3406131352118","73.2934225377834","75.0569360702034","",
"Early-demographic dividend","EAR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2631681304245","35.143761641014","36.1626132402848","37.0999499807942","38.1972868908219","39.3105614911842","40.3861527423056","41.5368665710927","42.9702894351667","44.640790619038","46.1153538673875","47.6770104002258","49.441454155572","50.9977285329723","53.1116914097419","55.1895338728781","57.1933747023966","59.6583516951703","61.9306658868384","64.2280999550305","66.4148970639665","",
"East Asia & Pacific","EAS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.9769023155106","42.4475233879205","43.267377537765","43.7963678156741","45.1501032845141","46.5007629756321","48.0040058398968","49.7334269782218","51.6303912783354","53.9850952002587","56.1696438407126","58.4823513629223","60.9296148530419","63.1994430031922","65.6653219761223","67.7508826878341","69.7518442684654","71.9413507932147","74.0012563121764","75.7655546919084","77.3570189442824","",
"Europe & Central Asia (excluding high income)","ECA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.8765014709367","89.4546502876682","89.9153694743821","90.3900524518656","90.8133625954001","91.1949361868171","91.4575268945224","91.7182358054611","91.8685837100776","91.9654852181058","92.0014693478723","91.9008384014286","91.842025005962","91.6828649546493","91.5168638964048","91.2218040060175","90.9721579522673","90.7526660851953","90.4059489452623","89.9636697135585","89.4477517386464","",
"Europe & Central Asia","ECS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5121603386691","94.8013089810923","95.03935034156","95.2911259620635","95.518308300153","95.7164228888795","95.8641120276018","96.013345993775","96.1175889218876","96.1752084469799","96.2138476010183","96.1872097409479","96.1698800904697","96.1089609805668","96.0438714512845","95.9199922143192","95.8142056554988","95.7674142022105","95.6178067561128","95.4376907600667","95.2137472782054","",
"Ecuador","ECU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8","88.75","89.8","90.6","91.1","91.7","92.3","92.7","93.05","93.3","93.6","93.9","94","94.1","94.3","94.4","94.4","94.4","94.5","94.45","94.3","",
"Egypt, Arab Rep.","EGY","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5","86.7","89.4","92","93.85","95.5","96.7","97.6","98.2","98.8","99.1","99.4","99.55","99.7","99.8","99.8","99.8","99.9","99.9","99.9","99.9","",
"Euro area","EMU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Eritrea","ERI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.9","4.4","4.9","5.4","5.79999999999999","6.40000000000001","6.80000000000001","7.4","7.70000000000001","8","8.3","8.6","8.9","8.9","9.00000000000001","9.00000000000001","9.2","9.10000000000001","9.2","9.3","",
"Spain","ESP","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Estonia","EST","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Ethiopia","ETH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.900000000000001","0.900000000000001","0.99999999999999","1","1.09999999999999","1.1","1.3","1.4","1.6","1.9","2.1","2.5","2.9","3.2","3.7","4.3","4.9","5.45","6.19999999999999","7","7.8","",
"European Union","EUU","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.8904745712138","98.0475069822731","98.1912617248678","98.3347849587548","98.4654341589606","98.5672022729327","98.6643005424575","98.7644846775643","98.8671471406565","98.9236341167475","98.9958386814359","99.0606228855822","99.0986221722736","99.1343460755339","99.1690735262445","99.1979292501334","99.2213930942216","99.4245687851144","99.4290275446189","99.4589557058365","99.4623752405797","",
"Fragile and conflict affected situations","FCS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3941571109594","21.5180499359313","21.5884763113772","21.7345313111992","21.8926027311029","22.0537751127243","22.3459772964401","22.5913295200516","22.8053857653445","23.1385212405013","23.4350802378102","23.8120875837579","24.1774400747195","24.4653315868178","24.7727709813513","25.1818084923295","25.6947387261865","26.2570775047779","26.835124763991","27.52538345077","28.1585749954925","",
"Finland","FIN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Fiji","FJI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2","28.15","28.2","28.3","28.5","28.7","29.2","29.6","30.2","31","31.9","33.2","34.5","36.6","38.1","40.3","42.4","44.6","46.7","49.4","51.4","",
"France","FRA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
